"","Statistic","All","Pre","Post","Group"
"1","NSE",0.816092452851952,0.802411867007159,0.84871796875413,"Fort Jones"
"2","RMSE",379.872024064134,418.078603414364,302.229537956016,"Fort Jones"
"3","KGE",0.592124246083655,0.572499887583641,0.638679614659397,"Fort Jones"
"4","NSE",0.611205324085648,0.611205324085648,NA,"Serpa Lane"
"5","RMSE",297.701922546356,297.701922546356,NA,"Serpa Lane"
"6","KGE",0.470116980421841,0.470116980421841,NA,"Serpa Lane"
"7","NSE",0.861726428959727,0.861726428959727,NA,"Below Youngs Dam"
"8","RMSE",58.2100901954566,58.2100901954566,NA,"Below Youngs Dam"
"9","KGE",0.845636161396183,0.845636161396183,NA,"Below Youngs Dam"
