"","WY","Precipitation","SW Irrigation","GW Irrigation","ET","Recharge","Runoff","Storage","Error"
"1",1990,4066510,2268989,951519,-10480127,-121601,-178036,3492744,-2
"2",1991,63238700,69309819,21693923,-146608846,-2186092,-2986598,-2460911,-1
"3",1992,77946887,79902838,23495477,-165501864,-2400970,-3705870,-9736389,6
"4",1993,109258363,50218376,14154006,-164665455,-3577599,-5794011,406316,15
"5",1994,40619018,88676532,27225349,-167826604,-1263576,-1932941,14502256,4
"6",1995,152981633,38600210,10080822,-164291945,-6650328,-12033652,-18686645,22
"7",1996,133895785,54312175,15259217,-175256980,-6880602,-14945918,-6383751,6
"8",1997,143093442,18277009,3803102,-110209260,-10166245,-16060551,-28737533,4
"9",1998,112962704,39477377,11795680,-168482989,-7791461,-14665621,26704254,9
"10",1999,90820971,66545185,19128299,-172337392,-4824556,-9412831,10080480,7
"11",2000,106711876,48365508,13422582,-148316382,-3584380,-5783522,-10815641,13
"12",2001,45359768,86477979,27354280,-177010610,-1372241,-2112348,21303140,9
"13",2002,101020372,66145978,18414031,-172321816,-3828539,-5883516,-3546548,3
"14",2003,197245321,29067548,7247671,-182986522,-17552144,-24380738,-8641191,-2
"15",2004,132706721,60680257,17227834,-179202870,-7542384,-13762844,-10106683,14
"16",2005,144876155,36517845,9614109,-166870064,-13592614,-18984040,8438386,4
"17",2006,160269884,36018537,9519899,-165370875,-18191664,-25522897,3277168,16
"18",2007,99455662,67229739,19309859,-163905386,-3525582,-5671283,-12893076,-1
"19",2008,93361864,54419545,15394788,-163533984,-4709685,-7677547,12745020,5
"20",2009,89454271,67624451,19304105,-166869056,-2874650,-4462396,-2176732,1
"21",2010,127133305,54962672,15365982,-160012263,-4212086,-6681035,-26556576,7
"22",2011,110456663,27071978,7347954,-145224384,-7407716,-13030191,20785613,-8
"23",2012,79885202,60307567,17500234,-150956460,-3367532,-6416668,3047598,-5
"24",2013,103992066,52218752,14716468,-158038872,-3711876,-6038735,-3137799,6
"25",2014,85205089,70347959,22809730,-162876339,-2774409,-4241461,-8470497,-9
"26",2015,98849406,47164293,14755778,-159467410,-4876844,-8117729,11692385,-4
"27",2016,152772717,48231849,13886432,-162089027,-8480345,-15010791,-29310721,-2
"28",2017,127415140,31738147,8205570,-159577457,-14748433,-21655777,28622877,-7
"29",2018,62271989,70288462,22245070,-158581341,-1963359,-3006814,8746036,2
"30",2019,100690137,59645223,16465874,-160329174,-3432461,-5424740,-7614964,-6
"31",2020,27452699,90943094,28963176,-133099675,-829736,-1257128,-12172440,-3
"32",2021,71524020,86121917,27337678,-156949319,-2358036,-3632625,-22043611,-1
"33",2022,48368915,82586613,25640592,-115331278,-1511467,-2321988,-37431364,-3
