Stage_ft,Flow_cfs
2835.75,0
2835.76,0.04682
2835.77,0.1311
2835.78,0.2395
2835.79,0.3672
2835.80,0.5116
2835.81,0.6708
2835.82,0.8435
2835.83,1.029
2835.84,1.225
2835.85,1.433
2835.86,1.651
2835.87,1.879
2835.88,2.116
2835.89,2.362
2835.90,2.617
2835.91,2.881
2835.92,3.152
2835.93,3.432
2835.94,3.727
2835.95,4.031
2835.96,4.342
2835.97,4.661
2835.98,4.987
2835.99,5.32
2836.00,5.66
2836.01,6.007
2836.02,6.361
2836.03,6.721
2836.04,7.088
2836.05,7.461
2836.06,7.84
2836.07,8.225
2836.08,8.616
2836.09,9.013
2836.10,9.416
2836.11,9.825
2836.12,10.24
2836.13,10.66
2836.14,11.08
2836.15,11.52
2836.16,11.95
2836.17,12.39
2836.18,12.84
2836.19,13.29
2836.20,13.75
2836.21,14.21
2836.22,14.68
2836.23,15.15
2836.24,15.62
2836.25,16.1
2836.26,16.59
2836.27,17.08
2836.28,17.58
2836.29,18.08
2836.30,18.58
2836.31,19.09
2836.32,19.6
2836.33,20.12
2836.34,20.64
2836.35,21.17
2836.36,21.7
2836.37,22.24
2836.38,22.78
2836.39,23.32
2836.40,23.87
2836.41,24.42
2836.42,24.98
2836.43,25.54
2836.44,26.1
2836.45,26.67
2836.46,27.24
2836.47,27.82
2836.48,28.4
2836.49,28.98
2836.50,29.57
2836.51,30.16
2836.52,30.76
2836.53,31.36
2836.54,31.96
2836.55,32.57
2836.56,33.18
2836.57,33.79
2836.58,34.41
2836.59,35.03
2836.60,35.66
2836.61,36.27
2836.62,36.88
2836.63,37.5
2836.64,38.12
2836.65,38.74
2836.66,39.37
2836.67,40
2836.68,40.64
2836.69,41.27
2836.70,41.91
2836.71,42.56
2836.72,43.2
2836.73,43.86
2836.74,44.51
2836.75,45.16
2836.76,45.82
2836.77,46.49
2836.78,47.15
2836.79,47.82
2836.80,48.49
2836.81,49.17
2836.82,49.85
2836.83,50.53
2836.84,51.21
2836.85,51.9
2836.86,52.59
2836.87,53.28
2836.88,53.98
2836.89,54.68
2836.90,55.38
2836.91,56.08
2836.92,56.79
2836.93,57.5
2836.94,58.21
2836.95,58.93
2836.96,59.65
2836.97,60.37
2836.98,61.1
2836.99,61.82
2837.00,62.55
2837.01,63.29
2837.02,64.02
2837.03,64.76
2837.04,65.5
2837.05,67.06
2837.06,68.91
2837.07,70.8
2837.08,72.72
2837.09,74.68
2837.10,76.68
2837.11,78.72
2837.12,80.8
2837.13,82.91
2837.14,85.07
2837.15,87.27
2837.16,89.5
2837.17,91.78
2837.18,94.1
2837.19,96.46
2837.20,98.87
2837.21,101.3
2837.22,103.8
2837.23,106.3
2837.24,108.9
2837.25,111.5
2837.26,114.2
2837.27,116.9
2837.28,119.7
2837.29,122.5
2837.30,125.4
2837.31,129.1
2837.32,132.1
2837.33,135.1
2837.34,138.2
2837.35,141.3
2837.36,144.5
2837.37,147.7
2837.38,150.9
2837.39,154.3
2837.40,157.6
2837.41,161.1
2837.42,164.5
2837.43,168.1
2837.44,171.7
2837.45,175.3
2837.46,179
2837.47,182.7
2837.48,186.5
2837.49,190.4
2837.50,194.3
2837.51,198.3
2837.52,202.4
2837.53,206.5
2837.54,210.6
2837.55,214.8
2837.56,219.1
2837.57,223.5
2837.58,227.9
2837.59,232.3
2837.60,236.8
2837.61,241.4
2837.62,246.1
2837.63,250.8
2837.64,255.6
2837.65,260.4
2837.66,265.4
2837.67,270.3
2837.68,275.4
2837.69,280.5
2837.70,285.7
2837.71,290.9
2837.72,296.3
